Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Spain,Nuclear,"Electricity, CHP and heat plants (PJ)",-643,-576,-676,-630,-671,-619,-625,-624,-640,-633,-608,-637,-636,-617,-639,
Spain,Nuclear,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Renewables and waste,Production (PJ),445,536,626,599,626,749,769,723,740,709,757,772,804,827,813,
Spain,Renewables and waste,Imports (PJ),14,19,35,58,82,46,56,22,32,38,70,70,54,70,68,
Spain,Renewables and waste,Exports (PJ),-4,-11,-17,-21,-20,-37,-63,-39,-49,-63,-87,-89,-83,-105,-93,
Spain,Renewables and waste,Total energy supply (PJ),455,544,643,636,690,756,759,712,729,689,753,755,782,807,792,
Spain,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-267,-313,-398,-370,-404,-519,-521,-480,-505,-453,-498,-497,-541,-563,-545,
Spain,Renewables and waste,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Renewables and waste,Total final consumption (PJ),184,214,231,250,270,217,220,228,223,233,252,256,239,242,246,
Spain,Renewables and waste,Industry (PJ),62,55,54,60,60,56,55,63,78,81,83,87,79,81,86,
Spain,Renewables and waste,Transport (PJ),26,45,61,73,90,38,41,41,47,54,70,68,59,59,57,
Spain,Renewables and waste,Residential (PJ),90,107,109,109,112,113,114,114,85,86,87,87,88,89,89,
Spain,Renewables and waste,Commercial and public services (PJ),5,4,4,4,5,5,6,6,9,9,9,9,9,10,10,
Spain,Renewables and waste,Other final consumption (PJ),2,2,3,3,3,5,5,3,3,3,3,4,3,3,3,
Spain,Electricity,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Electricity,Imports (PJ),21,24,19,29,28,36,44,54,79,86,86,67,65,63,29,
Spain,Electricity,Exports (PJ),-61,-53,-49,-50,-68,-60,-57,-54,-51,-53,-46,-43,-53,-60,-100,
Spain,Electricity,Total energy supply (PJ),-40,-29,-30,-22,-40,-24,-12,0,28,33,40,25,12,3,-71,
